13/04/2024,Flamengo,Palmeiras,2,1
13/04/2024,Fluminense,Atlético-MG,1,0
13/04/2024,São Paulo,Corinthians,0,2
13/04/2024,Grêmio,Santos,1,1
13/04/2024,Internacional,Fortaleza,2,2
13/04/2024,Atlético-GO,Cuiabá,0,1
13/04/2024,América-MG,Bahia,3,1
13/04/2024,Coritiba,Vasco,0,0
14/04/2024,Flamengo,Fluminense,2,2
14/04/2024,Palmeiras,São Paulo,1,0
14/04/2024,Atlético-MG,Grêmio,2,1
14/04/2024,Santos,Internacional,0,3
14/04/2024,Fortaleza,Atlético-GO,1,1
14/04/2024,Cuiabá,América-MG,0,2
14/04/2024,Bahia,Coritiba,1,1
14/04/2024,Vasco,Corinthians,0,2
15/04/2024,Flamengo,Atlético-MG,1,1
15/04/2024,Palmeiras,Santos,2,0
15/04/2024,Fluminense,Grêmio,0,1
15/04/2024,São Paulo,Internacional,1,2
15/04/2024,Coritiba,América-MG,0,0
15/04/2024,Bahia,Atlético-GO,1,2
15/04/2024,Vasco,Cuiabá,2,2
15/04/2024,Fortaleza,Corinthians,1,0
16/04/2024,Flamengo,Santos,3,1
16/04/2024,Palmeiras,Grêmio,1,2
16/04/2024,Fluminense,Internacional,2,1
16/04/2024,São Paulo,Atlético-GO,0,0
16/04/2024,Coritiba,Fortaleza,1,1
16/04/2024,Bahia,Cuiabá,2,0
16/04/2024,Vasco,América-MG,1,2
16/04/2024,Atlético-MG,Corinthians,3,0
17/04/2024,Flamengo,Grêmio,2,2
17/04/2024,Palmeiras,Internacional,0,1
17/04/2024,Fluminense,Atlético-GO,1,1
17/04/2024,São Paulo,Santos,2,0
17/04/2024,Coritiba,Atlético-MG,0,2
17/04/2024,Bahia,Vasco,1,1
17/04/2024,Fortaleza,América-MG,0,1
17/04/2024,Cuiabá,Corinthians,0,3
18/04/2024,Flamengo,Internacional,1,1
18/04/2024,Palmeiras,Atlético-GO,2,1
18/04/2024,Fluminense,Santos,1,0
18/04/2024,São Paulo,Grêmio,0,1
18/04/2024,Coritiba,Corinthians,0,2
18/04/2024,Bahia,Atlético-MG,1,2
18/04/2024,Fortaleza,Cuiabá,2,0
18/04/2024,Vasco,América-MG,1,1
19/04/2024,Flamengo,São Paulo,3,1
19/04/2024,Palmeiras,Fluminense,1,2
19/04/2024,Atlético-MG,Internacional,2,0
19/04/2024,Santos,Grêmio,1,1
19/04/2024,Fortaleza,Vasco,0,0
19/04/2024,Cuiabá,Bahia,1,1
19/04/2024,América-MG,Coritiba,2,0
19/04/2024,Corinthians,Atlético-GO,1,1
20/04/2024,Flamengo,Atlético-GO,2,1
20/04/2024,Palmeiras,América-MG,1,0
20/04/2024,Fluminense,Vasco,0,0
20/04/2024,São Paulo,Cuiabá,2,1
20/04/2024,Coritiba,Santos,1,2
20/04/2024,Bahia,Flamengo,0,3
20/04/2024,Fortaleza,Palmeiras,1,1
20/04/2024,Grêmio,Atlético-MG,0,1
